"Main_gene_name","frequency"
"SLC25A15",14
"SLC6A19",14
"SOX10",14
"STIM1",14
"TCF4",14
"VDR",14
"BMP15",13
"CFI",13
"CHEK2",13
"CHRNE",13
"COL4A3",13
"COL6A1",13
"F12",13
"FH",13
"FHL1",13
"GFPT1",13
"GLUD1",13
"GRIN1",13
"KCNJ1",13
"KLHL40",13
"KMT2D",13
"MPI",13
"PDE6B",13
"PGM1",13
"PITX2",13
"POLR1C",13
"POU1F1",13
"RPS6KA3",13
"SAMHD1",13
"SCNN1B",13
"SGCB",13
"SGCE",13
"TUBB8",13
"ACAD9",12
"ACTG2",12
"ADAR",12
"AGA",12
"AIFM1",12
"ALDH5A1",12
"APOE",12
"BBS1",12
"C3",12
"CANT1",12
"CHRNA1",12
"CLN5",12
"COQ8A",12
"CRPPA",12
"CTSA",12
"CYBA",12
"DNAH5",12
"ETFDH",12
"EXT1",12
"GABRG2",12
"GRIN2B",12
"KCNJ2",12
"KCNT1",12
"MAT1A",12
"NEFL",12
"NR3C1",12
"PDE4D",12
"PIEZO1",12
"PRSS1",12
"SLC40A1",12
"SLC6A8",12
"SLCO2A1",12
"STUB1",12
"TBK1",12
"TNFRSF1A",12
"TRPM1",12
"TRPM4",12
"TUBB3",12
"TULP1",12
"ABCB6",11
"ACTC1",11
"AMT",11
"BCKDHA",11
"CARD14",11
"CLCN4",11
"CLPB",11
"CYP7B1",11
"DARS2",11
"DCTN1",11
"EGR2",11
"EPHB4",11
"ERCC6",11
"EZH2",11
"GALK1",11
"GATM",11
"GDAP1",11
"HEPACAM",11
"HFE",11
"HSD17B10",11
"HTRA1",11
"KIF21A",11
"LAMA2",11
"LDHB",11
"LRP4",11
"MNX1",11
"NNT",11
"OXCT1",11
"PEX6",11
"PLA2G6",11
"SELENON",11
"SI",11
"SMARCAL1",11
"SNRNP200",11
"SUOX",11
"SURF1",11
"TBCD",11
"TK2",11
"TSC1",11
"TTC21B",11
"TUBB2B",11
"WDR19",11
"ABCG8",10
"ACADS",10
"ACAT1",10
"ADA2",10
"ALDH1A3",10
"AMPD3",10
"BBS12",10
"BICD2",10
"CHAT",10
"COL6A2",10
"CTRC",10
"DHODH",10
"DLD",10
"DYNC2I2",10
"ELAC2",10
"F2",10
"FKTN",10
"FOXP3",10
"GPIHBP1",10
"IFNGR1",10
"IFT140",10
"KCNH1",10
"KDM5C",10
"LONP1",10
"MAF",10
"MAFB",10
"MOCS1",10
"NBAS",10
"NRL",10
"PKD2",10
"POLH",10
"POMT1",10
"POU4F3",10
"RBM20",10
"RDH12",10
"RP2",10
"SDHD",10
